ADM0_CODE,ef4,ipcc_method
1,0.005,2019
2,0.005,2019
3,0.0109866584038678,2019
4,0.00504442422199867,2019
5,0.014,2019
7,0.0107028826077571,2019
8,0.0128953812344555,2019
9,0.014,2019
11,0.014,2019
12,0.00602144030485213,2019
13,0.005,2019
14,0.005,2019
15,0.013852786563285,2019
17,0.00571586310928189,2019
18,0.0125084842997217,2019
19,0.005,2019
20,0.014,2019
21,0.005,2019
23,0.014,2019
24,0.014,2019
26,0.00808978578361593,2019
27,0.014,2019
28,0.014,2019
29,0.0114570486413876,2019
30,0.014,2019
31,0.014,2019
33,0.0104401273870265,2019
34,0.0137270930376253,2019
35,0.00606668527877535,2019
37,0.0129720416345768,2019
38,0.014,2019
39,0.014,2019
40,0.014,2019
41,0.005,2019
42,0.00619071245830328,2019
43,0.014,2019
44,0.014,2019
45,0.0130354448762011,2019
46,0.009739815938142,2019
47,0.005,2019
48,0.014,2019
49,0.0132808638528516,2019
50,0.00542583386027117,2019
51,0.00748468642812267,2019
52,0.005,2019
54,0.014,2019
56,0.014,2019
57,0.0138538680789882,2019
58,0.014,2019
59,0.014,2019
60,0.014,2019
61,0.014,2019
62,0.0118606735714869,2019
63,0.013826762783583,2019
64,0.005,2019
65,0.00777126207090747,2019
66,0.014,2019
67,0.0134829282923845,2019
68,0.0138760147012379,2019
69,0.0127005886610795,2019
70,0.005,2019
71,0.014,2019
72,0.0138063220163402,2019
73,0.0125667344365978,2019
75,0.014,2019
76,0.014,2019
77,0.0075544981716663,2019
78,0.014,2019
79,0.0101021436600313,2019
80,0.005,2019
81,0.0115592114782348,2019
82,0.014,2019
83,0.014,2019
84,0.0139370226819594,2019
85,0.00934844492187607,2019
86,0.014,2019
87,0.014,2019
88,0.014,2019
89,0.014,2019
90,0.00824398241994467,2019
92,0.0108777079458441,2019
93,0.0103565652732212,2019
94,0.0130862823590908,2019
95,0.005,2019
96,0.014,2019
97,0.00523752958212755,2019
98,0.0129365094840445,2019
99,0.014,2019
100,0.014,2019
101,0.014,2019
103,0.014,2019
104,0.014,2019
105,0.014,2019
106,0.0139999896408868,2019
107,0.014,2019
108,0.0128557116096807,2019
109,0.014,2019
110,0.005,2019
111,0.014,2019
113,0.00510710701178317,2019
114,0.014,2019
115,0.00912200372456814,2019
116,0.014,2019
117,0.00510176274602063,2019
118,0.005,2019
119,0.014,2019
120,0.014,2019
121,0.005,2019
122,0.00815223413687137,2019
123,0.014,2019
126,0.014,2019
128,0.014,2019
129,0.005,2019
130,0.005,2019
131,0.014,2019
132,0.005,2019
133,0.00740424150547639,2019
135,0.014,2019
136,0.014,2019
137,0.005,2019
138,0.005,2019
139,0.014,2019
140,0.014,2019
141,0.005,2019
142,0.00549078491436778,2019
144,0.014,2019
145,0.005,2019
146,0.014,2019
147,0.013287225251564,2019
148,0.014,2019
149,0.014,2019
150,0.0122038158113265,2019
151,0.005,2019
152,0.011553175721403,2019
153,0.014,2019
154,0.014,2019
155,0.00553844280288895,2019
156,0.005,2019
157,0.014,2019
158,0.014,2019
159,0.005,2019
160,0.014,2019
161,0.014,2019
162,0.00779811575381434,2019
163,0.014,2019
164,0.014,2019
165,0.005,2019
166,0.005,2019
167,0.00500729841826109,2019
168,0.014,2019
169,0.005,2019
170,0.00910469250377984,2019
171,0.0139992524015025,2019
172,0.00792402900991145,2019
173,0.014,2019
175,0.0116340738148662,2019
176,0.00603185503081714,2019
177,0.014,2019
178,0.014,2019
179,0.0132560072130887,2019
180,0.014,2019
181,0.0051112333020095,2019
182,0.0102813359732528,2019
183,0.014,2019
184,0.014,2019
185,0.014,2019
186,0.014,2019
187,0.00508272636510843,2019
188,0.00507003423153163,2019
189,0.014,2019
191,0.014,2019
192,0.014,2019
193,0.014,2019
194,0.0102912284074778,2019
195,0.0103006002027897,2019
196,0.014,2019
197,0.014,2019
198,0.00684511926420551,2019
199,0.00666939000524259,2019
200,0.014,2019
201,0.005,2019
202,0.014,2019
203,0.00735966294962753,2019
204,0.0092225856377133,2019
205,0.014,2019
206,0.014,2019
207,0.00789558312290383,2019
208,0.014,2019
209,0.014,2019
210,0.014,2019
211,0.014,2019
212,0.014,2019
213,0.0135933504147257,2019
214,0.014,2019
215,0.00610016900379374,2019
217,0.00704070048605953,2019
220,0.00992094324283556,2019
221,0.014,2019
222,0.014,2019
223,0.00951991083172729,2019
224,0.0139886152644498,2019
225,0.014,2019
226,0.00577060890559161,2019
227,0.00517602417117566,2019
228,0.014,2019
229,0.00608736440417097,2019
231,0.014,2019
233,0.014,2019
234,0.0135064728510992,2019
235,0.00637601844892091,2019
236,0.0135384993063407,2019
237,0.014,2019
238,0.005,2019
239,0.005,2019
240,0.014,2019
241,0.00500700093370165,2019
242,0.014,2019
243,0.0136238769226201,2019
244,0.014,2019
245,0.014,2019
246,0.014,2019
247,0.014,2019
248,0.005,2019
249,0.00512460937254294,2019
250,0.005,2019
251,0.014,2019
252,0.014,2019
253,0.0138793315373803,2019
254,0.00553954990720483,2019
255,0.005,2019
256,0.0139414981474555,2019
257,0.0131663620659751,2019
258,0.014,2019
259,0.00804748917237882,2019
260,0.0130516160278465,2019
261,0.005,2019
262,0.014,2019
263,0.0132427818778918,2019
264,0.014,2019
265,0.005,2019
266,0.014,2019
267,0.005,2019
268,0.005,2019
269,0.00756650047738101,2019
