ADM0_CODE,ef4
1,0.005
2,0.005
3,0.0109866584051546
4,0.00504442422199911
5,0.014
7,0.010702882595501
8,0.0129062932637898
9,0.014
11,0.014
12,0.00602144030481615
13,0.005
14,0.005
15,0.0138527865637372
17,0.00589532029393354
18,0.012508484300286
19,0.005
20,0.014
21,0.005
23,0.014
24,0.014
26,0.00808978578398028
27,0.014
28,0.014
29,0.0114570486404848
30,0.014
31,0.014
33,0.0104847546622589
34,0.0137270930380029
35,0.0060666852790908
37,0.0129755022821643
38,0.014
39,0.014
40,0.014
41,0.005
42,0.00619071245842281
43,0.014
44,0.014
45,0.0130354448760698
46,0.0100671730922479
47,0.005
48,0.014
49,0.0132808638525186
50,0.00542583386011772
51,0.00748468642839886
52,0.005
54,0.014
56,0.014
57,0.0138538680789895
58,0.014
59,0.014
60,0.014
61,0.014
62,0.011860673572218
63,0.013826762783541
64,0.005
65,0.00777126207112307
66,0.014
67,0.0134829282922155
68,0.0138760147012788
69,0.0127005886609995
70,0.005
71,0.014
72,0.0138063220158419
73,0.0125667344360423
75,0.014
76,0.014
77,0.00755449817080351
78,0.014
79,0.0101021436602433
80,0.005
81,0.0115592114800314
82,0.014
83,0.014
84,0.0139374603022294
85,0.0093484449219646
86,0.014
87,0.014
88,0.014
89,0.014
90,0.00824398241275514
92,0.0108777079471978
93,0.0103565652736319
94,0.0130862823585904
95,0.005
96,0.014
97,0.0052375295824619
98,0.0125340494180699
99,0.014
100,0.014
101,0.014
103,0.014
104,0.014
105,0.014
106,0.0139999896408843
107,0.014
108,0.0128557116083935
109,0.014
110,0.005
111,0.014
113,0.00510710701240254
114,0.014
115,0.00912200372430782
116,0.014
117,0.00510176274600188
118,0.005
119,0.014
120,0.014
121,0.005
122,0.00815223413726783
123,0.014
126,0.014
128,0.014
129,0.005
130,0.005
131,0.014
132,0.005
133,0.00740424150643326
135,0.014
136,0.014
137,0.005
138,0.005
139,0.014
140,0.014
141,0.005
142,0.00549078491430077
144,0.014
145,0.005
146,0.014
147,0.0132872252513626
148,0.014
149,0.014
150,0.0122038161914222
151,0.005
152,0.0116379955648624
153,0.014
154,0.014
155,0.00553844280281156
156,0.005
157,0.014
158,0.014
159,0.005
160,0.014
161,0.014
162,0.00779811575366855
163,0.014
164,0.014
165,0.005
166,0.005
167,0.00500729841824364
168,0.014
169,0.005
170,0.00925398845562524
171,0.0139992524014955
172,0.00792402901003179
173,0.014
175,0.0116340738142028
176,0.00603185502881846
177,0.014
178,0.014
179,0.0132560072146507
180,0.014
181,0.0051112333020106
182,0.0102813359730506
183,0.014
184,0.014
185,0.014
186,0.0137498310907257
187,0.00508272636510809
188,0.00507003423145953
189,0.014
191,0.014
192,0.014
193,0.014
194,0.0102912284068492
195,0.0103942970163768
196,0.014
197,0.014
198,0.0068451192644663
199,0.00666939000696473
200,0.014
201,0.005
202,0.014
203,0.00735966294980411
204,0.00955559018414356
205,0.014
206,0.014
207,0.00812425785015294
208,0.014
209,0.014
210,0.014
211,0.014
212,0.014
213,0.0135933504658163
214,0.014
215,0.00610016900378123
217,0.0070407004855829
220,0.0099209432315502
221,0.014
222,0.014
223,0.00951991083203418
224,0.0139886152646513
225,0.014
226,0.00577060890580836
227,0.00517602417076662
228,0.014
229,0.00608736440451123
231,0.014
233,0.014
234,0.0134556974883207
235,0.00637601845020621
236,0.0135385620249024
237,0.014
238,0.005
239,0.005
240,0.014
241,0.00500700093388457
242,0.014
243,0.0136238769228124
244,0.014
245,0.014
246,0.014
247,0.014
248,0.005
249,0.00512460937260572
250,0.005
251,0.014
252,0.014
253,0.0138793315374825
254,0.00553954990725918
255,0.005
256,0.0139414981475392
257,0.0131663620660252
258,0.014
259,0.00832914282391195
260,0.0130516160275372
261,0.005
262,0.014
263,0.0132427818777051
264,0.014
265,0.005
266,0.014
267,0.005
268,0.005
269,0.00756650047749923
270,0.0125330344775275
271,0.00965093636193154
2647,0.0138787070603537
2648,0.00666370063084082
33364,0.014
40760,0.005
40762,0.005
40765,0.005
40781,0.00536209833071196
61013,0.005
147295,0.00726645560868338
147296,0.014
6,0.00527434896914441
74,0.00847642335494236
102,0.005
74578,0.0100261510888211
