"ADM0_CODE","ef5","ipcc_method"
1,0.0075,"2006"
2,0.0075,"2006"
3,0.0075,"2006"
4,0.0075,"2006"
5,0.0075,"2006"
7,0.0075,"2006"
8,0.0075,"2006"
9,0.0075,"2006"
11,0.0075,"2006"
12,0.0075,"2006"
13,0.0075,"2006"
14,0.0075,"2006"
15,0.0075,"2006"
16,0.0075,"2006"
17,0.0075,"2006"
18,0.0075,"2006"
19,0.0075,"2006"
20,0.0075,"2006"
21,0.0075,"2006"
22,0.0075,"2006"
23,0.0075,"2006"
24,0.0075,"2006"
25,0.0075,"2006"
26,0.0075,"2006"
27,0.0075,"2006"
28,0.0075,"2006"
29,0.0075,"2006"
30,0.0075,"2006"
31,0.0075,"2006"
32,0.0075,"2006"
33,0.0075,"2006"
34,0.0075,"2006"
35,0.0075,"2006"
36,0.0075,"2006"
37,0.0075,"2006"
38,0.0075,"2006"
39,0.0075,"2006"
40,0.0075,"2006"
41,0.0075,"2006"
42,0.0075,"2006"
43,0.0075,"2006"
44,0.0075,"2006"
45,0.0075,"2006"
46,0.0075,"2006"
47,0.0075,"2006"
48,0.0075,"2006"
49,0.0075,"2006"
50,0.0075,"2006"
51,0.0075,"2006"
52,0.0075,"2006"
54,0.0075,"2006"
55,0.0075,"2006"
56,0.0075,"2006"
57,0.0075,"2006"
58,0.0075,"2006"
59,0.0075,"2006"
60,0.0075,"2006"
61,0.0075,"2006"
62,0.0075,"2006"
63,0.0075,"2006"
64,0.0075,"2006"
65,0.0075,"2006"
66,0.0075,"2006"
67,0.0075,"2006"
68,0.0075,"2006"
69,0.0075,"2006"
70,0.0075,"2006"
71,0.0075,"2006"
72,0.0075,"2006"
73,0.0075,"2006"
75,0.0075,"2006"
76,0.0075,"2006"
77,0.0075,"2006"
78,0.0075,"2006"
79,0.0075,"2006"
80,0.0075,"2006"
81,0.0075,"2006"
82,0.0075,"2006"
83,0.0075,"2006"
84,0.0075,"2006"
85,0.0075,"2006"
86,0.0075,"2006"
87,0.0075,"2006"
88,0.0075,"2006"
89,0.0075,"2006"
90,0.0075,"2006"
92,0.0075,"2006"
93,0.0075,"2006"
94,0.0075,"2006"
95,0.0075,"2006"
96,0.0075,"2006"
97,0.0075,"2006"
98,0.0075,"2006"
