herd_id,cohort,duration,offtake_rate,mort_rate,parturition_rate,litsize,female_birth_fraction,size_total
1,FA,5000,0,0.067,1.893890076,1,0.5,3059840
1,FJ,369.9427083,0,0.28,1.893890076,1,0.5,3059840
1,FS,1546.550625,0,0.03,1.893890076,1,0.5,3059840
1,MA,5000,0,0.067,1.893890076,1,0.5,3059840
1,MJ,369.9427083,0,0.28,1.893890076,1,0.5,3059840
1,MS,1546.550625,0.496,0.03,1.893890076,1,0.5,3059840
2,FA,5000,0,0.0550086230830124,1.62047571615534,1,0.5,7363149.246
2,FJ,240,0.472824416106012,0.14983484461575,1.62047571615534,1,0.5,7363149.246
2,FS,1397.94938596346,0.472824416106012,0.0550086230830124,1.62047571615534,1,0.5,7363149.246
2,MA,1868.50818192996,0,0.0550086230830124,1.62047571615534,1,0.5,7363149.246
2,MJ,240,0.677849857430595,0.20918412659019,1.62047571615534,1,0.5,7363149.246
2,MS,1397.94938596346,0.677849857430595,0.0550086230830124,1.62047571615534,1,0.5,7363149.246

